# ---------------------------------------------------------
# bandgap raw 221.016  ->  rail now 5.0254 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3479,1.75239,1.78692,0.03453,0.03430,0.00000,5.0166
2,0.6670,1.78312,1.84981,0.06669,0.06577,0.00000,5.0251
3,0.9682,1.80104,1.89782,0.09678,0.09548,0.00000,5.0222
4,1.5579,1.82865,1.98373,0.15508,0.15363,0.00000,5.0162
5,1.8429,1.84458,2.02746,0.18288,0.18173,0.00000,5.0279
6,2.0904,1.85246,2.06059,0.20813,0.20614,0.00000,5.0222
7,2.3836,1.86283,2.09917,0.23635,0.23504,0.00000,5.0244
8,2.8320,1.87543,2.15692,0.28149,0.27927,0.00000,5.0212
9,3.0838,1.88478,2.19109,0.30632,0.30409,0.00000,5.0226
10,3.3221,1.88936,2.21872,0.32936,0.32760,0.00000,5.0173
11,3.5678,1.89551,2.24940,0.35389,0.35182,0.00000,5.0212
12,4.0219,1.90159,2.30139,0.39980,0.39660,0.00000,5.0035
13,4.2569,1.90886,2.32963,0.42077,0.41978,0.00000,5.0032
14,4.4785,1.91915,2.36445,0.44530,0.44163,0.00000,5.0141
15,4.7199,1.92574,2.39255,0.46681,0.46543,0.00000,5.0219
16,6.7366,1.96443,2.63324,0.66880,0.66430,0.00000,5.0032
17,6.9147,1.96810,2.65301,0.68491,0.68186,0.00000,5.0032
18,7.0915,1.96968,2.67379,0.70411,0.69930,0.00000,5.0056
19,7.2597,1.97251,2.69244,0.71993,0.71588,0.00000,5.0035
20,7.6107,1.97787,2.73279,0.75492,0.75049,0.00000,5.0032
21,7.7689,1.98117,2.75206,0.77090,0.76609,0.00000,5.0028
22,7.9279,1.98366,2.77039,0.78673,0.78177,0.00000,5.0035
23,8.0796,1.98839,2.78986,0.80147,0.79673,0.00000,5.0035
24,8.3334,1.99286,2.81927,0.82641,0.82176,0.00000,5.0024
25,8.4766,1.99606,2.83637,0.84030,0.83588,0.00000,5.0024
26,8.6403,1.99894,2.85448,0.85554,0.85202,0.00000,5.0032
27,8.7905,1.99871,2.87043,0.87172,0.86684,0.00000,5.0032
28,9.0677,2.00444,2.90418,0.89974,0.89417,0.00000,5.0032
29,9.2142,2.00796,2.92130,0.91334,0.90861,0.00000,5.0028
30,9.3504,2.00911,2.93703,0.92792,0.92204,0.00000,5.0028
31,9.4789,2.00964,2.95130,0.94166,0.93472,0.00000,5.0028
32,8.8658,2.00208,2.88100,0.87891,0.87426,0.00000,5.0028
33,9.0113,2.00491,2.89764,0.89273,0.88861,0.00000,5.0028
34,9.1499,2.00460,2.91199,0.90739,0.90227,0.00000,5.0028
35,9.2707,2.00987,2.92878,0.91891,0.91418,0.00000,5.0028
36,9.5594,2.01445,2.96199,0.94754,0.94265,0.00000,5.0028
37,9.6910,2.01559,2.97649,0.96090,0.95563,0.00000,5.0028
38,9.8109,2.01894,2.99151,0.97257,0.96745,0.00000,5.0032
39,9.9541,2.01955,3.00625,0.98669,0.98158,0.00000,5.0032
40,10.1485,2.02315,3.02955,1.00640,1.00075,0.00000,5.0028
41,10.2624,2.02515,3.04452,1.01938,1.01197,0.00000,5.0024
42,10.3994,2.02896,3.05910,1.03014,1.02548,0.00000,5.0024
43,10.5077,2.02956,3.07306,1.04349,1.03617,0.00000,5.0028
44,10.7531,2.03558,3.10228,1.06670,1.06036,0.00000,5.0032
45,10.8530,2.03759,3.11444,1.07686,1.07021,0.00000,5.0024
46,10.9908,2.03864,3.12778,1.08914,1.08380,0.00000,5.0032
47,11.0984,2.03751,3.13803,1.10052,1.09441,0.00000,5.0024
48,12.1550,2.05743,3.26199,1.20456,1.19860,0.00000,5.0024
49,12.2494,2.05775,3.27367,1.21592,1.20791,0.00000,5.0021
50,12.3452,2.05898,3.28428,1.22529,1.21736,0.00000,5.0014
51,12.4376,2.06117,3.29405,1.23289,1.22647,0.00000,5.0028
52,12.6319,2.06315,3.31657,1.25342,1.24563,0.00000,5.0028
53,12.7269,2.06736,3.32748,1.26012,1.25500,0.00000,5.0021
54,12.8007,2.06697,3.33695,1.26999,1.26228,0.00000,5.0028
55,12.8945,2.06841,3.34810,1.27969,1.27152,0.00000,5.0032
56,13.0266,2.07011,3.36321,1.29310,1.28455,0.00000,5.0024
57,13.1194,2.07312,3.37187,1.29874,1.29371,0.00000,5.0003
58,13.1875,2.07271,3.38160,1.30889,1.30042,0.00000,5.0021
59,13.2789,2.07178,3.39084,1.31905,1.30944,0.00000,5.0024
60,13.4599,2.07706,3.41197,1.33492,1.32728,0.00000,5.0021
61,13.5547,2.07704,3.41978,1.34273,1.33663,0.00000,5.0028
62,13.6155,2.08026,3.43006,1.34980,1.34262,0.00000,5.0021
63,13.6996,2.08101,3.43933,1.35833,1.35092,0.00000,5.0032
# i_max=13.700 mA  v_die@i_max=2.0810 V  rail 5.0003 to 5.0279 V  sag=27.6 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
