# ---------------------------------------------------------
# bandgap raw 221.016  ->  rail now 5.0254 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3464,1.75475,1.78945,0.03470,0.03416,0.00000,5.0194
2,0.6674,1.78201,1.84867,0.06666,0.06581,0.00000,5.0215
3,0.9676,1.80211,1.89829,0.09619,0.09542,0.00000,5.0233
4,1.5580,1.82907,1.98447,0.15540,0.15363,0.00000,5.0247
5,1.8356,1.83696,2.01935,0.18238,0.18101,0.00000,5.0155
6,2.0952,1.85012,2.05856,0.20844,0.20661,0.00000,5.0205
7,2.3852,1.85566,2.09201,0.23636,0.23521,0.00000,5.0176
8,2.8255,1.86481,2.14495,0.28015,0.27862,0.00000,5.0032
9,3.0802,1.87457,2.18076,0.30618,0.30374,0.00000,5.0084
10,3.3270,1.88529,2.21459,0.32930,0.32808,0.00000,5.0176
11,3.5721,1.89021,2.24376,0.35355,0.35225,0.00000,5.0173
12,4.0394,1.89588,2.29619,0.40031,0.39832,0.00000,5.0032
13,4.2611,1.90510,2.32674,0.42164,0.42019,0.00000,5.0063
14,4.4923,1.90840,2.35276,0.44436,0.44298,0.00000,5.0032
15,4.7055,1.91250,2.37804,0.46554,0.46401,0.00000,5.0035
16,6.7671,1.95590,2.62573,0.66983,0.66731,0.00000,5.0028
17,6.9356,1.96023,2.64759,0.68736,0.68392,0.00000,5.0032
18,7.1093,1.96262,2.66687,0.70425,0.70105,0.00000,5.0028
19,7.2863,1.96459,2.68698,0.72240,0.71850,0.00000,5.0032
20,7.6285,1.96990,2.72626,0.75636,0.75224,0.00000,5.0021
21,7.7991,1.97315,2.74542,0.77227,0.76906,0.00000,5.0028
22,7.9691,1.97718,2.76500,0.78782,0.78584,0.00000,5.0032
23,8.1157,1.97994,2.78244,0.80250,0.80029,0.00000,5.0028
24,8.3733,1.98192,2.81188,0.82996,0.82569,0.00000,5.0032
25,8.5173,1.98604,2.82921,0.84317,0.83989,0.00000,5.0032
26,8.6698,1.98711,2.84638,0.85928,0.85493,0.00000,5.0032
27,8.8194,1.98880,2.86275,0.87395,0.86968,0.00000,5.0028
28,9.1059,1.99530,2.89789,0.90259,0.89793,0.00000,5.0024
29,9.2615,1.99721,2.91247,0.91526,0.91328,0.00000,5.0024
30,9.3949,2.00006,2.92955,0.92949,0.92643,0.00000,5.0039
31,9.5264,2.00241,2.94532,0.94291,0.93939,0.00000,5.0021
32,8.8867,1.99307,2.87260,0.87952,0.87632,0.00000,5.0028
33,9.0245,1.99536,2.88955,0.89418,0.88991,0.00000,5.0028
34,9.1764,1.99614,2.90522,0.90908,0.90488,0.00000,5.0024
35,9.3109,1.99903,2.92138,0.92235,0.91815,0.00000,5.0028
36,9.6030,2.00195,2.95302,0.95107,0.94695,0.00000,5.0021
37,9.7165,2.00719,2.96998,0.96280,0.95814,0.00000,5.0032
38,9.8528,2.00872,2.98481,0.97609,0.97159,0.00000,5.0028
39,9.9977,2.01248,2.99918,0.98671,0.98587,0.00000,5.0024
40,10.1958,2.01209,3.02178,1.00968,1.00541,0.00000,5.0024
41,10.3211,2.01642,3.03854,1.02212,1.01776,0.00000,5.0032
42,10.4272,2.02002,3.05298,1.03296,1.02823,0.00000,5.0028
43,10.5604,2.01926,3.06481,1.04556,1.04136,0.00000,5.0028
44,10.8004,2.02355,3.09301,1.06945,1.06503,0.00000,5.0021
45,10.9057,2.02378,3.10530,1.08151,1.07541,0.00000,5.0021
46,11.0427,2.02683,3.11963,1.09281,1.08892,0.00000,5.0024
47,11.1441,2.02791,3.13171,1.10380,1.09892,0.00000,5.0017
48,12.2161,2.04606,3.25543,1.20937,1.20463,0.00000,5.0024
49,12.3212,2.04464,3.26444,1.21980,1.21499,0.00000,5.0014
50,12.4166,2.04957,3.27764,1.22807,1.22440,0.00000,5.0024
51,12.4909,2.04850,3.28779,1.23929,1.23173,0.00000,5.0024
52,12.6922,2.05247,3.30955,1.25707,1.25158,0.00000,5.0024
53,12.7797,2.05400,3.31939,1.26539,1.26020,0.00000,5.0024
54,12.8726,2.05598,3.33054,1.27455,1.26936,0.00000,5.0024
55,12.9685,2.05682,3.33985,1.28303,1.27883,0.00000,5.0024
56,13.1051,2.05730,3.35525,1.29795,1.29230,0.00000,5.0014
57,13.1759,2.06126,3.36541,1.30416,1.29927,0.00000,5.0021
58,13.2704,2.06133,3.37542,1.31409,1.30860,0.00000,5.0024
59,13.3625,2.06102,3.38450,1.32348,1.31768,0.00000,5.0024
60,13.5330,2.06613,3.40489,1.33877,1.33449,0.00000,5.0028
61,13.6022,2.06638,3.41395,1.34757,1.34131,0.00000,5.0017
62,13.6863,2.06491,3.42131,1.35640,1.34960,0.00000,5.0028
63,13.7655,2.06809,3.43054,1.36245,1.35742,0.00000,5.0003
# i_max=13.766 mA  v_die@i_max=2.0681 V  rail 5.0003 to 5.0247 V  sag=24.4 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
