# ---------------------------------------------------------
# bandgap raw 220.516  ->  rail now 5.0368 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3521,1.75165,1.78645,0.03480,0.03472,0.00000,5.0254
2,0.6709,1.77852,1.84536,0.06685,0.06616,0.00000,5.0251
3,0.9725,1.79848,1.89530,0.09682,0.09590,0.00000,5.0247
4,1.5668,1.82382,1.97940,0.15558,0.15451,0.00000,5.0230
5,1.8446,1.83435,2.01724,0.18289,0.18189,0.00000,5.0237
6,2.0917,1.84639,2.05511,0.20872,0.20627,0.00000,5.0237
7,2.3886,1.85343,2.09019,0.23676,0.23554,0.00000,5.0251
8,2.8399,1.86666,2.14878,0.28212,0.28005,0.00000,5.0244
9,3.0870,1.86937,2.17722,0.30786,0.30441,0.00000,5.0201
10,3.3311,1.88047,2.21132,0.33085,0.32848,0.00000,5.0215
11,3.5796,1.88627,2.24208,0.35582,0.35298,0.00000,5.0247
12,4.0624,1.89694,2.29853,0.40158,0.40059,0.00000,5.0187
13,4.2774,1.90413,2.32876,0.42463,0.42179,0.00000,5.0233
14,4.5202,1.90923,2.35581,0.44658,0.44574,0.00000,5.0254
15,4.7256,1.91302,2.38262,0.46960,0.46599,0.00000,5.0247
16,6.7846,1.94527,2.61797,0.67270,0.66903,0.00000,5.0032
17,6.9537,1.95184,2.64190,0.69006,0.68570,0.00000,5.0102
18,7.1353,1.95199,2.65988,0.70789,0.70362,0.00000,5.0032
19,7.3150,1.95697,2.68098,0.72401,0.72134,0.00000,5.0081
20,7.6794,1.96678,2.72603,0.75925,0.75726,0.00000,5.0169
21,7.8249,1.96297,2.73878,0.77581,0.77161,0.00000,5.0035
22,8.0031,1.96999,2.76316,0.79317,0.78918,0.00000,5.0169
23,8.1342,1.96971,2.77664,0.80693,0.80212,0.00000,5.0067
24,8.4009,1.97473,2.80513,0.83040,0.82842,0.00000,5.0035
25,8.5333,1.97625,2.82353,0.84727,0.84147,0.00000,5.0035
26,8.6976,1.97642,2.83875,0.86233,0.85767,0.00000,5.0032
27,8.8554,1.98228,2.85788,0.87560,0.87323,0.00000,5.0035
28,9.1661,1.98614,2.89359,0.90746,0.90386,0.00000,5.0109
29,9.2667,1.98749,2.90601,0.91852,0.91379,0.00000,5.0032
30,9.4166,1.98876,2.92184,0.93308,0.92857,0.00000,5.0039
31,9.5609,1.99108,2.93868,0.94761,0.94280,0.00000,5.0032
32,8.9229,1.98133,2.86603,0.88470,0.87989,0.00000,5.0067
33,9.0646,1.98405,2.88272,0.89867,0.89386,0.00000,5.0032
34,9.2169,1.98625,2.89995,0.91369,0.90888,0.00000,5.0056
35,9.3427,1.98636,2.91374,0.92739,0.92128,0.00000,5.0028
36,9.6174,1.99337,2.94601,0.95264,0.94837,0.00000,5.0032
37,9.7665,1.99636,2.96425,0.96789,0.96307,0.00000,5.0070
38,9.8922,1.99612,2.97693,0.98081,0.97547,0.00000,5.0032
39,10.0068,1.99932,2.99090,0.99158,0.98677,0.00000,5.0032
40,10.2357,2.00424,3.01694,1.01270,1.00934,0.00000,5.0046
41,10.3567,2.00329,3.02907,1.02578,1.02128,0.00000,5.0032
42,10.4675,2.00674,3.04359,1.03685,1.03220,0.00000,5.0028
43,10.6014,2.00810,3.05801,1.04990,1.04540,0.00000,5.0032
44,10.8452,2.01178,3.08497,1.07319,1.06945,0.00000,5.0028
45,10.9552,2.01415,3.09941,1.08525,1.08029,0.00000,5.0024
46,11.0674,2.01466,3.11204,1.09739,1.09136,0.00000,5.0035
47,11.2006,2.01621,3.12543,1.10923,1.10449,0.00000,5.0053
48,12.2439,2.03265,3.24795,1.21530,1.20737,0.00000,5.0017
49,12.3695,2.03307,3.25840,1.22533,1.21976,0.00000,5.0028
50,12.4477,2.03620,3.26940,1.23319,1.22747,0.00000,5.0028
51,12.5584,2.03498,3.27940,1.24441,1.23838,0.00000,5.0028
52,12.7536,2.04116,3.30192,1.26076,1.25763,0.00000,5.0032
53,12.8317,2.04117,3.31192,1.27075,1.26533,0.00000,5.0028
54,12.9260,2.04247,3.32229,1.27982,1.27463,0.00000,5.0024
55,13.0191,2.04215,3.33192,1.28977,1.28382,0.00000,5.0032
56,13.1591,2.04720,3.34840,1.30121,1.29762,0.00000,5.0028
57,13.2299,2.04585,3.35678,1.31093,1.30460,0.00000,5.0017
58,13.3317,2.04659,3.36772,1.32113,1.31464,0.00000,5.0028
59,13.4220,2.04653,3.37602,1.32950,1.32354,0.00000,5.0021
60,13.5773,2.04971,3.39582,1.34611,1.33886,0.00000,5.0032
61,13.6674,2.05103,3.40549,1.35445,1.34774,0.00000,5.0021
62,13.7602,2.05218,3.41419,1.36201,1.35690,0.00000,5.0021
63,13.8222,2.05225,3.42281,1.37056,1.36300,0.00000,5.0021
# i_max=13.822 mA  v_die@i_max=2.0523 V  rail 5.0017 to 5.0254 V  sag=23.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
