# ---------------------------------------------------------
# bandgap raw 220.984  ->  rail now 5.0261 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3480,1.75333,1.78795,0.03462,0.03431,0.00000,5.0190
2,0.6682,1.78129,1.84826,0.06697,0.06589,0.00000,5.0219
3,0.9701,1.80152,1.89802,0.09650,0.09566,0.00000,5.0240
4,1.5632,1.82659,1.98197,0.15538,0.15415,0.00000,5.0240
5,1.8384,1.83748,2.01999,0.18251,0.18128,0.00000,5.0215
6,2.0921,1.84738,2.05560,0.20822,0.20630,0.00000,5.0226
7,2.3858,1.85051,2.08662,0.23611,0.23527,0.00000,5.0155
8,2.8321,1.86451,2.14593,0.28142,0.27927,0.00000,5.0155
9,3.0841,1.86976,2.17632,0.30656,0.30412,0.00000,5.0084
10,3.3179,1.87519,2.20381,0.32862,0.32717,0.00000,5.0032
11,3.5744,1.88695,2.24148,0.35454,0.35247,0.00000,5.0194
12,4.0453,1.89307,2.29336,0.40028,0.39891,0.00000,5.0028
13,4.2600,1.89977,2.32062,0.42085,0.42008,0.00000,5.0032
14,4.5005,1.90361,2.34794,0.44433,0.44379,0.00000,5.0028
15,4.7075,1.90786,2.37429,0.46642,0.46421,0.00000,5.0032
16,6.7839,1.94924,2.62003,0.67079,0.66896,0.00000,5.0032
17,6.9405,1.95002,2.63870,0.68868,0.68441,0.00000,5.0028
18,7.1338,1.95604,2.66225,0.70621,0.70346,0.00000,5.0032
19,7.3080,1.95733,2.68011,0.72278,0.72064,0.00000,5.0032
20,7.6452,1.96355,2.72050,0.75695,0.75390,0.00000,5.0024
21,7.8238,1.96659,2.74054,0.77395,0.77151,0.00000,5.0028
22,7.9763,1.96597,2.75657,0.79059,0.78655,0.00000,5.0028
23,8.1278,1.97092,2.77623,0.80530,0.80149,0.00000,5.0032
24,8.3942,1.97495,2.80506,0.83011,0.82775,0.00000,5.0017
25,8.5277,1.97820,2.82339,0.84519,0.84092,0.00000,5.0024
26,8.6908,1.98010,2.84038,0.86029,0.85700,0.00000,5.0028
27,8.8513,1.98309,2.85759,0.87450,0.87282,0.00000,5.0024
28,9.1352,1.98773,2.89168,0.90395,0.90082,0.00000,5.0028
29,9.2646,1.98866,2.90667,0.91801,0.91358,0.00000,5.0024
30,9.4140,1.98896,2.92155,0.93259,0.92831,0.00000,5.0024
31,9.5585,1.99329,2.93929,0.94600,0.94257,0.00000,5.0032
32,8.9147,1.98194,2.86438,0.88244,0.87908,0.00000,5.0024
33,9.0588,1.98715,2.88334,0.89619,0.89329,0.00000,5.0021
34,9.2104,1.98828,2.90003,0.91175,0.90824,0.00000,5.0024
35,9.3304,1.99095,2.91514,0.92419,0.92007,0.00000,5.0024
36,9.6207,1.99354,2.94598,0.95244,0.94870,0.00000,5.0024
37,9.7569,1.99744,2.96331,0.96587,0.96213,0.00000,5.0024
38,9.8732,1.99968,2.97793,0.97825,0.97360,0.00000,5.0017
39,10.0053,2.00109,2.99138,0.99029,0.98662,0.00000,5.0028
40,10.2245,2.00561,3.01674,1.01113,1.00823,0.00000,5.0024
41,10.3508,2.00396,3.02885,1.02489,1.02069,0.00000,5.0014
42,10.4645,2.00814,3.04362,1.03549,1.03190,0.00000,5.0021
43,10.5976,2.01134,3.05851,1.04717,1.04503,0.00000,5.0021
44,10.8437,2.01485,3.08591,1.07106,1.06930,0.00000,5.0021
45,10.9536,2.01615,3.10033,1.08418,1.08014,0.00000,5.0021
46,11.0589,2.01744,3.11261,1.09518,1.09052,0.00000,5.0024
47,11.1920,2.01745,3.12506,1.10762,1.10365,0.00000,5.0021
48,12.2509,2.03477,3.24833,1.21356,1.20806,0.00000,5.0021
49,12.3612,2.03367,3.25719,1.22352,1.21894,0.00000,5.0007
50,12.4330,2.03842,3.26879,1.23037,1.22602,0.00000,5.0000
51,12.5607,2.03788,3.28047,1.24258,1.23861,0.00000,5.0028
52,12.7378,2.04180,3.30183,1.26004,1.25607,0.00000,5.0021
53,12.8260,2.04210,3.31183,1.26973,1.26477,0.00000,5.0021
54,12.9138,2.04234,3.32080,1.27846,1.27343,0.00000,4.9986
55,13.0053,2.04372,3.33098,1.28726,1.28245,0.00000,5.0014
56,13.1585,2.04922,3.34823,1.29901,1.29756,0.00000,5.0014
57,13.2285,2.04828,3.35748,1.30919,1.30446,0.00000,5.0021
58,13.3201,2.04892,3.36745,1.31853,1.31350,0.00000,5.0010
59,13.4223,2.04972,3.37726,1.32754,1.32357,0.00000,5.0028
60,13.5716,2.05189,3.39500,1.34311,1.33830,0.00000,5.0010
61,13.6340,2.04889,3.39775,1.34886,1.34444,0.00000,4.9895
62,13.7521,2.05502,3.41386,1.35884,1.35610,0.00000,5.0014
63,13.8179,2.05540,3.42378,1.36838,1.36258,0.00000,5.0014
# i_max=13.818 mA  v_die@i_max=2.0554 V  rail 4.9895 to 5.0240 V  sag=34.6 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
