# ---------------------------------------------------------
# bandgap raw 221.047  ->  rail now 5.0247 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3495,1.74997,1.78474,0.03477,0.03446,0.00000,5.0180
2,0.6666,1.77917,1.84598,0.06681,0.06574,0.00000,5.0215
3,0.9682,1.79981,1.89667,0.09686,0.09548,0.00000,5.0222
4,1.5618,1.82484,1.98053,0.15569,0.15401,0.00000,5.0215
5,1.8454,1.83640,2.01991,0.18351,0.18198,0.00000,5.0240
6,2.0894,1.84448,2.05304,0.20856,0.20604,0.00000,5.0176
7,2.3863,1.85075,2.08814,0.23739,0.23532,0.00000,5.0201
8,2.8331,1.86328,2.14487,0.28159,0.27937,0.00000,5.0144
9,3.0821,1.86530,2.17198,0.30668,0.30393,0.00000,5.0039
10,3.3209,1.87313,2.20328,0.33015,0.32748,0.00000,5.0032
11,3.5783,1.88614,2.24183,0.35570,0.35286,0.00000,5.0230
12,4.0541,1.89107,2.29153,0.40046,0.39977,0.00000,5.0032
13,4.2616,1.89741,2.32039,0.42298,0.42023,0.00000,5.0032
14,4.5196,1.90852,2.35488,0.44637,0.44568,0.00000,5.0230
15,4.7075,1.90565,2.37329,0.46764,0.46421,0.00000,5.0032
16,6.7842,1.94582,2.61824,0.67242,0.66899,0.00000,5.0028
17,6.9463,1.94904,2.63883,0.68979,0.68498,0.00000,5.0042
18,7.1364,1.95109,2.65924,0.70815,0.70372,0.00000,5.0028
19,7.3144,1.95376,2.67741,0.72364,0.72128,0.00000,5.0028
20,7.6667,1.95972,2.71710,0.75738,0.75601,0.00000,5.0028
21,7.8251,1.96150,2.73748,0.77598,0.77163,0.00000,5.0021
22,7.9786,1.96407,2.75527,0.79120,0.78677,0.00000,5.0028
23,8.1318,1.96892,2.77568,0.80676,0.80187,0.00000,5.0056
24,8.4029,1.97422,2.80451,0.83029,0.82861,0.00000,5.0028
25,8.5354,1.97439,2.82232,0.84794,0.84168,0.00000,5.0024
26,8.6930,1.97596,2.83875,0.86279,0.85722,0.00000,5.0032
27,8.8596,1.98063,2.85695,0.87632,0.87365,0.00000,5.0028
28,9.1453,1.98262,2.88893,0.90632,0.90181,0.00000,5.0028
29,9.2714,1.98575,2.90458,0.91884,0.91426,0.00000,5.0028
30,9.4145,1.98764,2.92035,0.93271,0.92836,0.00000,5.0010
31,9.5594,1.98933,2.93687,0.94754,0.94265,0.00000,5.0028
32,8.9164,1.97822,2.86250,0.88429,0.87925,0.00000,5.0021
33,9.0632,1.98338,2.88229,0.89891,0.89372,0.00000,5.0028
34,9.2143,1.98454,2.89782,0.91328,0.90862,0.00000,5.0024
35,9.3451,1.98561,2.91285,0.92725,0.92152,0.00000,5.0024
36,9.6293,1.99249,2.94539,0.95290,0.94955,0.00000,5.0021
37,9.7622,1.99369,2.96084,0.96716,0.96265,0.00000,5.0028
38,9.8876,1.99452,2.97588,0.98136,0.97502,0.00000,5.0028
39,10.0061,1.99735,2.98977,0.99243,0.98670,0.00000,5.0028
40,10.2316,2.00175,3.01420,1.01245,1.00894,0.00000,5.0014
41,10.3575,2.00231,3.02825,1.02594,1.02136,0.00000,5.0028
42,10.4637,2.00586,3.04288,1.03702,1.03183,0.00000,5.0017
43,10.5991,2.00774,3.05781,1.05006,1.04518,0.00000,5.0024
44,10.8453,2.00877,3.08281,1.07404,1.06946,0.00000,5.0014
45,10.9567,2.01180,3.09843,1.08663,1.08044,0.00000,5.0021
46,11.0736,2.01046,3.10884,1.09838,1.09197,0.00000,5.0010
47,11.1936,2.01415,3.12299,1.10884,1.10380,0.00000,5.0024
48,12.2615,2.02999,3.24597,1.21597,1.20911,0.00000,5.0010
49,12.3760,2.03167,3.25726,1.22559,1.22040,0.00000,5.0010
50,12.4542,2.03305,3.26703,1.23398,1.22811,0.00000,5.0010
51,12.5691,2.03301,3.27840,1.24539,1.23944,0.00000,5.0024
52,12.7517,2.03882,3.30008,1.26126,1.25744,0.00000,5.0021
53,12.8316,2.03787,3.31029,1.27242,1.26532,0.00000,5.0003
54,12.9296,2.04028,3.32030,1.28002,1.27499,0.00000,5.0017
55,13.0213,2.04033,3.33176,1.29144,1.28403,0.00000,5.0028
56,13.1728,2.04241,3.34618,1.30377,1.29897,0.00000,5.0021
57,13.2147,2.04106,3.35148,1.31042,1.30311,0.00000,4.9951
58,13.3367,2.04348,3.36586,1.32238,1.31513,0.00000,5.0017
59,13.4220,2.04439,3.37518,1.33079,1.32354,0.00000,5.0021
60,13.5878,2.04766,3.39496,1.34730,1.33989,0.00000,5.0024
61,13.6636,2.04728,3.40266,1.35538,1.34737,0.00000,4.9993
62,13.7624,2.05134,3.41402,1.36268,1.35711,0.00000,5.0017
63,13.8334,2.04891,3.42088,1.37197,1.36411,0.00000,5.0014
# i_max=13.833 mA  v_die@i_max=2.0489 V  rail 4.9951 to 5.0240 V  sag=28.9 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
