# ---------------------------------------------------------
# bandgap raw 221.219  ->  rail now 5.0208 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3009,2.22644,2.25603,0.02959,0.02967,0.00000,5.0032
2,0.5556,2.26415,2.32039,0.05624,0.05478,0.00000,5.0032
3,0.8289,2.29187,2.37415,0.08227,0.08174,0.00000,5.0035
4,1.3120,2.34028,2.47134,0.13106,0.12938,0.00000,5.0035
5,1.5341,2.35859,2.51147,0.15288,0.15128,0.00000,5.0032
6,1.7546,2.37568,2.55084,0.17516,0.17302,0.00000,5.0049
7,1.9746,2.39271,2.58926,0.19655,0.19472,0.00000,5.0032
8,2.3291,2.41873,2.65107,0.23234,0.22967,0.00000,5.0028
9,2.5280,2.43003,2.68275,0.25272,0.24929,0.00000,5.0028
10,2.7185,2.44491,2.71534,0.27043,0.26807,0.00000,5.0028
11,2.9215,2.45562,2.74569,0.29007,0.28809,0.00000,5.0032
12,3.2735,2.47827,2.80535,0.32708,0.32280,0.00000,5.0028
13,3.4652,2.48778,2.83246,0.34468,0.34170,0.00000,5.0035
14,3.6384,2.49784,2.85913,0.36130,0.35878,0.00000,5.0032
15,3.8046,2.50682,2.88626,0.37944,0.37517,0.00000,5.0039
16,5.3551,2.58652,3.12031,0.53379,0.52807,0.00000,5.0028
17,5.4972,2.58946,3.13658,0.54712,0.54208,0.00000,5.0024
18,5.6365,2.59510,3.15641,0.56131,0.55582,0.00000,5.0032
19,5.7492,2.60293,3.17527,0.57234,0.56692,0.00000,5.0028
20,6.0105,2.61281,3.21176,0.59895,0.59269,0.00000,5.0032
21,6.1319,2.61809,3.22818,0.61009,0.60467,0.00000,5.0024
22,6.2470,2.62528,3.24626,0.62098,0.61602,0.00000,5.0035
23,6.3762,2.62613,3.26062,0.63448,0.62876,0.00000,5.0028
24,6.5437,2.63580,3.28856,0.65276,0.64528,0.00000,5.0024
25,6.6580,2.64033,3.30367,0.66334,0.65654,0.00000,5.0028
26,6.7795,2.64446,3.31825,0.67380,0.66853,0.00000,5.0028
27,6.8676,2.64889,3.33275,0.68385,0.67721,0.00000,5.0021
28,7.0902,2.65663,3.36389,0.70726,0.69917,0.00000,5.0024
29,7.2068,2.66155,3.37734,0.71578,0.71067,0.00000,5.0028
30,7.3008,2.66457,3.39099,0.72642,0.71993,0.00000,5.0024
31,7.4101,2.67119,3.40756,0.73637,0.73071,0.00000,5.0053
32,6.9351,2.65117,3.34214,0.69097,0.68387,0.00000,5.0028
33,7.0518,2.65546,3.35656,0.70110,0.69538,0.00000,5.0021
34,7.1514,2.65969,3.37183,0.71214,0.70520,0.00000,5.0024
35,7.2440,2.66362,3.38558,0.72196,0.71433,0.00000,5.0028
36,7.4417,2.67274,3.41420,0.74146,0.73382,0.00000,5.0024
37,7.5601,2.67442,3.42649,0.75207,0.74550,0.00000,5.0024
38,7.6592,2.67824,3.43916,0.76092,0.75527,0.00000,5.0024
39,7.7306,2.68034,3.45151,0.77117,0.76232,0.00000,5.0021
40,7.8809,2.68421,3.46927,0.78507,0.77713,0.00000,4.9996
41,7.9814,2.69194,3.48441,0.79247,0.78705,0.00000,5.0021
42,8.0629,2.69282,3.49477,0.80195,0.79508,0.00000,5.0017
43,8.1507,2.69846,3.50915,0.81069,0.80374,0.00000,5.0024
44,8.3330,2.70037,3.52980,0.82943,0.82172,0.00000,5.0017
45,8.4156,2.70637,3.54264,0.83628,0.82987,0.00000,5.0021
46,8.4832,2.70869,3.55270,0.84400,0.83653,0.00000,5.0017
47,8.5840,2.71186,3.56589,0.85403,0.84647,0.00000,5.0028
48,9.3278,2.73708,3.66644,0.92935,0.91982,0.00000,5.0010
49,9.4194,2.74090,3.67678,0.93587,0.92885,0.00000,5.0024
50,9.4765,2.74139,3.68434,0.94295,0.93448,0.00000,5.0007
51,9.5487,2.74396,3.69418,0.95022,0.94160,0.00000,5.0024
52,9.6796,2.74911,3.71232,0.96321,0.95451,0.00000,5.0021
53,9.7399,2.75327,3.72166,0.96839,0.96045,0.00000,5.0024
54,9.8022,2.75227,3.72764,0.97537,0.96659,0.00000,5.0010
55,9.8601,2.75559,3.73744,0.98185,0.97231,0.00000,5.0014
56,9.9691,2.75995,3.74956,0.98962,0.98305,0.00000,5.0021
57,10.0116,2.76106,3.75830,0.99724,0.98724,0.00000,5.0024
58,10.0760,2.76280,3.76624,1.00344,0.99359,0.00000,5.0017
59,10.1518,2.76262,3.77261,1.01000,1.00107,0.00000,5.0021
60,10.2673,2.76627,3.78781,1.02154,1.01246,0.00000,5.0007
61,10.3313,2.77083,3.79746,1.02663,1.01877,0.00000,5.0024
62,10.3886,2.76926,3.80246,1.03320,1.02442,0.00000,5.0021
63,10.4278,2.77078,3.80822,1.03744,1.02828,0.00000,4.9989
# i_max=10.428 mA  v_die@i_max=2.7708 V  rail 4.9989 to 5.0053 V  sag=6.3 mV

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
