# ---------------------------------------------------------
# bandgap raw 220.828  ->  rail now 5.0297 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3473,1.74951,1.78429,0.03479,0.03425,0.00000,5.0226
2,0.6653,1.77748,1.84385,0.06637,0.06561,0.00000,5.0237
3,0.9734,1.79697,1.89380,0.09683,0.09599,0.00000,5.0254
4,1.5645,1.82122,1.97687,0.15566,0.15428,0.00000,5.0230
5,1.8426,1.83352,2.01652,0.18300,0.18170,0.00000,5.0247
6,2.0988,1.84249,2.05168,0.20919,0.20696,0.00000,5.0258
7,2.3879,1.85290,2.08937,0.23647,0.23547,0.00000,5.0237
8,2.8421,1.86401,2.14680,0.28279,0.28026,0.00000,5.0226
9,3.0988,1.87011,2.17806,0.30795,0.30558,0.00000,5.0244
10,3.3355,1.87881,2.21003,0.33122,0.32892,0.00000,5.0237
11,3.5802,1.88013,2.23547,0.35534,0.35305,0.00000,5.0155
12,4.0646,1.89233,2.29376,0.40143,0.40081,0.00000,5.0176
13,4.2789,1.90068,2.32561,0.42494,0.42195,0.00000,5.0233
14,4.5211,1.90422,2.35051,0.44629,0.44583,0.00000,5.0230
15,4.7313,1.90873,2.37843,0.46970,0.46656,0.00000,5.0233
16,6.7898,1.94060,2.61388,0.67328,0.66954,0.00000,5.0035
17,6.9588,1.94405,2.63370,0.68965,0.68621,0.00000,5.0032
18,7.1493,1.94687,2.65492,0.70804,0.70499,0.00000,5.0032
19,7.3211,1.95199,2.67538,0.72339,0.72194,0.00000,5.0032
20,7.6729,1.95750,2.71489,0.75738,0.75662,0.00000,5.0028
21,7.8321,1.95718,2.73347,0.77629,0.77232,0.00000,5.0032
22,7.9833,1.96094,2.75214,0.79120,0.78723,0.00000,5.0028
23,8.1588,1.96544,2.77303,0.80759,0.80453,0.00000,5.0084
24,8.4116,1.96981,2.80049,0.83069,0.82947,0.00000,5.0024
25,8.5750,1.97297,2.82330,0.85032,0.84558,0.00000,5.0113
26,8.7178,1.97008,2.83386,0.86378,0.85966,0.00000,5.0032
27,8.8663,1.97473,2.85216,0.87743,0.87430,0.00000,5.0035
28,9.1691,1.98008,2.88829,0.90821,0.90416,0.00000,5.0053
29,9.2914,1.98337,2.90196,0.91860,0.91623,0.00000,5.0032
30,9.4731,1.99017,2.92645,0.93628,0.93414,0.00000,5.0180
31,9.5718,1.98620,2.93397,0.94777,0.94388,0.00000,5.0028
32,8.9268,1.97840,2.86287,0.88447,0.88027,0.00000,5.0032
33,9.0747,1.97863,2.87807,0.89943,0.89485,0.00000,5.0032
34,9.2266,1.98301,2.89697,0.91396,0.90984,0.00000,5.0067
35,9.3642,1.98253,2.91066,0.92814,0.92340,0.00000,5.0032
36,9.6553,1.98955,2.94319,0.95364,0.95211,0.00000,5.0032
37,9.7806,1.99068,2.95798,0.96729,0.96447,0.00000,5.0035
38,9.9092,1.99146,2.97327,0.98181,0.97715,0.00000,5.0032
39,10.0225,1.99630,2.98990,0.99360,0.98832,0.00000,5.0088
40,10.2538,1.99659,3.01161,1.01502,1.01113,0.00000,5.0028
41,10.3728,1.99913,3.02528,1.02615,1.02286,0.00000,5.0042
42,10.4999,2.00145,3.04051,1.03906,1.03539,0.00000,5.0035
43,10.6038,2.00270,3.05330,1.05060,1.04564,0.00000,5.0024
44,10.8522,2.00596,3.08076,1.07479,1.07013,0.00000,5.0032
45,10.9923,2.00642,3.09488,1.08846,1.08395,0.00000,5.0032
46,11.0976,2.00788,3.10695,1.09907,1.09434,0.00000,5.0028
47,11.2184,2.01147,3.12085,1.10937,1.10624,0.00000,5.0028
48,12.2890,2.02559,3.24222,1.21663,1.21182,0.00000,5.0028
49,12.3951,2.02879,3.25497,1.22618,1.22228,0.00000,5.0032
50,12.4825,2.02750,3.26382,1.23632,1.23090,0.00000,5.0028
51,12.5846,2.03064,3.27634,1.24570,1.24097,0.00000,5.0024
52,12.7773,2.03163,3.29596,1.26433,1.25997,0.00000,5.0024
53,12.8711,2.03376,3.30779,1.27403,1.26922,0.00000,5.0028
54,12.9651,2.03512,3.31772,1.28261,1.27848,0.00000,5.0035
55,13.0478,2.03406,3.32787,1.29382,1.28664,0.00000,5.0032
56,13.1761,2.03827,3.34237,1.30411,1.29930,0.00000,5.0028
57,13.2734,2.03836,3.35328,1.31492,1.30889,0.00000,5.0021
58,13.3675,2.03929,3.36258,1.32328,1.31817,0.00000,5.0014
59,13.4500,2.04049,3.37275,1.33226,1.32631,0.00000,5.0024
60,13.6203,2.04247,3.39076,1.34829,1.34310,0.00000,5.0024
61,13.6962,2.04431,3.40145,1.35714,1.35058,0.00000,5.0024
62,13.7815,2.04605,3.41108,1.36502,1.35899,0.00000,5.0028
63,13.8612,2.04651,3.41940,1.37289,1.36686,0.00000,5.0028
# i_max=13.861 mA  v_die@i_max=2.0465 V  rail 5.0014 to 5.0258 V  sag=24.4 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
