# ---------------------------------------------------------
# bandgap raw 220.625  ->  rail now 5.0343 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3481,1.75078,1.78580,0.03502,0.03433,0.00000,5.0230
2,0.6670,1.77962,1.84631,0.06669,0.06577,0.00000,5.0247
3,0.9718,1.80044,1.89727,0.09683,0.09583,0.00000,5.0251
4,1.5577,1.82615,1.98137,0.15522,0.15361,0.00000,5.0237
5,1.8390,1.83582,2.01916,0.18334,0.18135,0.00000,5.0212
6,2.0942,1.84635,2.05500,0.20865,0.20651,0.00000,5.0219
7,2.3867,1.85301,2.08990,0.23688,0.23535,0.00000,5.0244
8,2.8367,1.86571,2.14728,0.28156,0.27973,0.00000,5.0198
9,3.0902,1.87251,2.17945,0.30694,0.30472,0.00000,5.0162
10,3.3214,1.87600,2.20605,0.33005,0.32753,0.00000,5.0088
11,3.5779,1.88838,2.24311,0.35473,0.35282,0.00000,5.0212
12,4.0535,1.89666,2.29759,0.40093,0.39971,0.00000,5.0113
13,4.2654,1.90023,2.32314,0.42291,0.42062,0.00000,5.0088
14,4.5129,1.91271,2.35896,0.44624,0.44502,0.00000,5.0233
15,4.7082,1.90729,2.37462,0.46732,0.46427,0.00000,5.0039
16,6.7803,1.95055,2.62137,0.67082,0.66861,0.00000,5.0028
17,6.9402,1.95168,2.64049,0.68881,0.68438,0.00000,5.0032
18,7.1268,1.95627,2.66278,0.70652,0.70278,0.00000,5.0032
19,7.2969,1.95908,2.68213,0.72306,0.71954,0.00000,5.0035
20,7.6375,1.96454,2.72149,0.75695,0.75313,0.00000,5.0024
21,7.8301,1.97008,2.74511,0.77503,0.77212,0.00000,5.0109
22,7.9751,1.96862,2.75917,0.79055,0.78643,0.00000,5.0035
23,8.1259,1.97372,2.77929,0.80557,0.80129,0.00000,5.0039
24,8.3820,1.97857,2.80886,0.83029,0.82655,0.00000,5.0028
25,8.5229,1.97827,2.82374,0.84548,0.84044,0.00000,5.0028
26,8.6746,1.98315,2.84313,0.85998,0.85540,0.00000,5.0028
27,8.8311,1.98484,2.85934,0.87450,0.87084,0.00000,5.0024
28,9.1196,1.99047,2.89418,0.90371,0.89928,0.00000,5.0032
29,9.2710,1.99166,2.91031,0.91865,0.91422,0.00000,5.0060
30,9.4116,1.99254,2.92489,0.93235,0.92807,0.00000,5.0028
31,9.5523,1.99612,2.94174,0.94562,0.94196,0.00000,5.0032
32,8.9107,1.98636,2.86794,0.88158,0.87868,0.00000,5.0028
33,9.0462,1.99170,2.88710,0.89540,0.89204,0.00000,5.0028
34,9.2047,1.99054,2.90196,0.91142,0.90768,0.00000,5.0032
35,9.3156,1.99445,2.91817,0.92372,0.91861,0.00000,5.0028
36,9.6150,1.99718,2.94960,0.95241,0.94814,0.00000,5.0032
37,9.7513,2.00106,2.96714,0.96608,0.96157,0.00000,5.0060
38,9.8599,2.00270,2.98033,0.97762,0.97228,0.00000,5.0024
39,10.0032,2.00592,2.99462,0.98870,0.98641,0.00000,5.0021
40,10.2130,2.00923,3.02092,1.01168,1.00710,0.00000,5.0060
41,10.3444,2.00912,3.03346,1.02434,1.02006,0.00000,5.0024
42,10.4505,2.01263,3.04796,1.03533,1.03052,0.00000,5.0024
43,10.5911,2.01699,3.06375,1.04676,1.04439,0.00000,5.0046
44,10.8251,2.01949,3.08962,1.07014,1.06746,0.00000,5.0028
45,10.9327,2.01818,3.10228,1.08410,1.07807,0.00000,5.0032
46,11.0465,2.02246,3.11665,1.09418,1.08930,0.00000,5.0028
47,11.1665,2.02225,3.12834,1.10609,1.10113,0.00000,5.0024
48,12.2333,2.04002,3.25184,1.21182,1.20632,0.00000,5.0028
49,12.3386,2.04024,3.26207,1.22183,1.21671,0.00000,5.0032
50,12.4312,2.04271,3.27336,1.23065,1.22585,0.00000,5.0021
51,12.5282,2.04361,3.28451,1.24090,1.23541,0.00000,5.0028
52,12.7273,2.04520,3.30512,1.25992,1.25503,0.00000,5.0032
53,12.7866,2.04743,3.31611,1.26868,1.26089,0.00000,5.0024
54,12.8871,2.04836,3.32634,1.27798,1.27080,0.00000,5.0021
55,12.9818,2.04918,3.33527,1.28609,1.28014,0.00000,5.0028
56,13.1280,2.05270,3.35191,1.29921,1.29455,0.00000,5.0024
57,13.1929,2.05378,3.36160,1.30782,1.30095,0.00000,5.0021
58,13.2875,2.05331,3.37145,1.31814,1.31028,0.00000,5.0024
59,13.3906,2.05559,3.38062,1.32502,1.32044,0.00000,5.0028
60,13.5678,2.05880,3.40092,1.34212,1.33793,0.00000,5.0028
61,13.6321,2.06048,3.41047,1.34999,1.34426,0.00000,5.0028
62,13.7227,2.05979,3.41795,1.35815,1.35319,0.00000,5.0028
63,13.7837,2.06166,3.42736,1.36569,1.35921,0.00000,5.0010
# i_max=13.784 mA  v_die@i_max=2.0617 V  rail 5.0010 to 5.0251 V  sag=24.0 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
