# ---------------------------------------------------------
# bandgap raw 220.734  ->  rail now 5.0318 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2831,2.50023,2.52890,0.02868,0.02791,0.00000,5.0035
2,0.4980,2.53873,2.58807,0.04934,0.04911,0.00000,5.0215
3,0.7441,2.55458,2.62834,0.07376,0.07338,0.00000,5.0134
4,1.1947,2.58826,2.70752,0.11926,0.11781,0.00000,5.0237
5,1.3993,2.60219,2.74232,0.14013,0.13799,0.00000,5.0244
6,1.6200,2.61121,2.77233,0.16113,0.15975,0.00000,5.0240
7,1.8206,2.62094,2.80154,0.18060,0.17953,0.00000,5.0240
8,2.1431,2.63449,2.84789,0.21340,0.21133,0.00000,5.0180
9,2.3397,2.64389,2.87676,0.23287,0.23072,0.00000,5.0219
10,2.5262,2.64808,2.89780,0.24972,0.24911,0.00000,5.0120
11,2.6922,2.65886,2.92686,0.26801,0.26548,0.00000,5.0198
12,3.0664,2.67429,2.97859,0.30429,0.30238,0.00000,5.0247
13,3.2338,2.68113,3.00155,0.32042,0.31889,0.00000,5.0226
14,3.3793,2.68717,3.02293,0.33576,0.33323,0.00000,5.0180
15,3.5508,2.69366,3.04649,0.35283,0.35015,0.00000,5.0237
16,5.0610,2.74491,3.24481,0.49990,0.49906,0.00000,5.0194
17,5.1865,2.75091,3.26534,0.51443,0.51144,0.00000,5.0222
18,5.2722,2.74591,3.26894,0.52303,0.51990,0.00000,5.0035
19,5.4281,2.75418,3.29266,0.53848,0.53527,0.00000,5.0155
20,5.6567,2.75518,3.31673,0.56154,0.55780,0.00000,5.0032
21,5.8008,2.76831,3.34262,0.57431,0.57201,0.00000,5.0198
22,5.8961,2.76492,3.34877,0.58385,0.58141,0.00000,5.0067
23,6.0147,2.76830,3.36486,0.59655,0.59311,0.00000,5.0088
24,6.2078,2.78026,3.39616,0.61590,0.61215,0.00000,5.0198
25,6.3002,2.77612,3.40121,0.62508,0.62126,0.00000,5.0077
26,6.4197,2.78561,3.42219,0.63657,0.63305,0.00000,5.0166
27,6.5072,2.78012,3.42530,0.64518,0.64167,0.00000,5.0035
28,6.7244,2.79264,3.45887,0.66623,0.66309,0.00000,5.0109
29,6.8451,2.79756,3.47340,0.67584,0.67500,0.00000,5.0166
30,6.9271,2.79748,3.48286,0.68538,0.68308,0.00000,5.0123
31,7.0346,2.79906,3.49496,0.69590,0.69368,0.00000,5.0127
32,6.5681,2.78444,3.43518,0.65074,0.64768,0.00000,5.0046
33,6.6553,2.78702,3.44666,0.65964,0.65628,0.00000,5.0032
34,6.7962,2.79617,3.46918,0.67301,0.67018,0.00000,5.0183
35,6.8494,2.79269,3.47270,0.68001,0.67542,0.00000,5.0070
36,7.0833,2.79886,3.49911,0.70025,0.69849,0.00000,5.0081
37,7.1973,2.80464,3.51750,0.71286,0.70972,0.00000,5.0169
38,7.2441,2.80329,3.52176,0.71847,0.71434,0.00000,5.0056
39,7.3418,2.80384,3.53193,0.72809,0.72397,0.00000,5.0046
40,7.4814,2.80733,3.54950,0.74217,0.73774,0.00000,5.0032
41,7.5891,2.81184,3.56448,0.75264,0.74836,0.00000,5.0074
42,7.6765,2.81221,3.57141,0.75919,0.75698,0.00000,5.0032
43,7.7462,2.81739,3.58590,0.76851,0.76385,0.00000,5.0077
44,7.9344,2.82076,3.60707,0.78630,0.78241,0.00000,5.0067
45,8.0179,2.82153,3.61324,0.79171,0.79065,0.00000,5.0032
46,8.0822,2.82420,3.62507,0.80088,0.79698,0.00000,5.0032
47,8.1822,2.82732,3.63837,0.81105,0.80684,0.00000,5.0095
48,8.9136,2.84466,3.72791,0.88325,0.87897,0.00000,5.0032
49,9.0018,2.84899,3.73872,0.88973,0.88766,0.00000,5.0053
50,9.0560,2.85098,3.74773,0.89675,0.89301,0.00000,5.0053
51,9.1255,2.85040,3.75424,0.90383,0.89986,0.00000,5.0039
52,9.2627,2.85333,3.76970,0.91637,0.91339,0.00000,5.0035
53,9.3201,2.85730,3.78071,0.92341,0.91905,0.00000,5.0074
54,9.3935,2.85532,3.78535,0.93003,0.92629,0.00000,5.0035
55,9.4571,2.85855,3.79379,0.93524,0.93257,0.00000,5.0032
56,9.5549,2.86020,3.80631,0.94610,0.94221,0.00000,5.0074
57,9.6080,2.85959,3.81154,0.95195,0.94744,0.00000,5.0035
58,9.6633,2.86521,3.82193,0.95672,0.95290,0.00000,5.0049
59,9.7193,2.86599,3.82900,0.96301,0.95842,0.00000,5.0067
60,9.8210,2.86756,3.84036,0.97280,0.96845,0.00000,5.0032
61,9.8883,2.86855,3.84883,0.98028,0.97509,0.00000,5.0032
62,9.9654,2.87131,3.85865,0.98735,0.98268,0.00000,5.0081
63,10.0052,2.87260,3.86128,0.98868,0.98662,0.00000,5.0032
# i_max=10.005 mA  v_die@i_max=2.8726 V  rail 5.0032 to 5.0247 V  sag=21.6 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
