# ---------------------------------------------------------
# bandgap raw 220.422  ->  rail now 5.0390 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2834,2.51043,2.53884,0.02841,0.02795,0.00000,5.0155
2,0.4959,2.54559,2.59511,0.04952,0.04890,0.00000,5.0251
3,0.7448,2.56693,2.64068,0.07375,0.07345,0.00000,5.0254
4,1.1921,2.59787,2.71657,0.11870,0.11755,0.00000,5.0222
5,1.3978,2.61250,2.75164,0.13914,0.13784,0.00000,5.0247
6,1.6116,2.61968,2.78028,0.16061,0.15892,0.00000,5.0219
7,1.8103,2.63103,2.81108,0.18005,0.17852,0.00000,5.0237
8,2.1318,2.64802,2.86015,0.21213,0.21021,0.00000,5.0226
9,2.3341,2.65633,2.88719,0.23086,0.23017,0.00000,5.0198
10,2.5215,2.66505,2.91485,0.24980,0.24865,0.00000,5.0251
11,2.6855,2.67263,2.93867,0.26605,0.26482,0.00000,5.0219
12,3.0425,2.68959,2.99229,0.30270,0.30002,0.00000,5.0237
13,3.2210,2.69508,3.01370,0.31862,0.31763,0.00000,5.0233
14,3.3766,2.70258,3.03663,0.33404,0.33297,0.00000,5.0247
15,3.5273,2.71132,3.06061,0.34928,0.34783,0.00000,5.0233
16,5.0153,2.76205,3.25922,0.49716,0.49456,0.00000,5.0180
17,5.1388,2.76849,3.27899,0.51050,0.50674,0.00000,5.0251
18,5.2627,2.77241,3.29206,0.51964,0.51896,0.00000,5.0169
19,5.3667,2.76924,3.30250,0.53326,0.52921,0.00000,5.0102
20,5.6338,2.78488,3.34349,0.55861,0.55555,0.00000,5.0212
21,5.7505,2.78372,3.35192,0.56821,0.56706,0.00000,5.0123
22,5.8441,2.78444,3.36225,0.57781,0.57628,0.00000,5.0046
23,5.9782,2.79347,3.38635,0.59288,0.58951,0.00000,5.0194
24,6.1328,2.79229,3.39910,0.60681,0.60475,0.00000,5.0032
25,6.2476,2.79606,3.41596,0.61990,0.61608,0.00000,5.0053
26,6.3500,2.79846,3.42883,0.63038,0.62618,0.00000,5.0067
27,6.4634,2.81152,3.45278,0.64126,0.63735,0.00000,5.0222
28,6.6479,2.80926,3.46893,0.65967,0.65555,0.00000,5.0063
29,6.7681,2.81378,3.48416,0.67038,0.66740,0.00000,5.0106
30,6.8422,2.81444,3.49266,0.67822,0.67471,0.00000,5.0074
31,6.9400,2.81485,3.50371,0.68885,0.68435,0.00000,5.0035
32,6.5026,2.80663,3.45189,0.64527,0.64122,0.00000,5.0084
33,6.6217,2.80844,3.46371,0.65526,0.65297,0.00000,5.0095
34,6.6948,2.80862,3.47308,0.66445,0.66018,0.00000,5.0032
35,6.8170,2.81250,3.48664,0.67413,0.67223,0.00000,5.0042
36,7.0019,2.81859,3.51249,0.69389,0.69046,0.00000,5.0035
37,7.0873,2.81946,3.52262,0.70316,0.69888,0.00000,5.0032
38,7.1903,2.81992,3.53301,0.71308,0.70904,0.00000,5.0032
39,7.2978,2.83498,3.55830,0.72332,0.71964,0.00000,5.0194
40,7.4287,2.83226,3.56687,0.73461,0.73255,0.00000,5.0053
41,7.5059,2.83058,3.57471,0.74413,0.74016,0.00000,5.0035
42,7.5961,2.83554,3.58863,0.75310,0.74905,0.00000,5.0063
43,7.6783,2.83528,3.59687,0.76159,0.75716,0.00000,5.0039
44,7.8491,2.84000,3.61698,0.77698,0.77400,0.00000,5.0032
45,7.9297,2.84122,3.62767,0.78645,0.78194,0.00000,5.0032
46,8.0187,2.84817,3.63981,0.79164,0.79072,0.00000,5.0032
47,8.0837,2.84481,3.64599,0.80118,0.79714,0.00000,5.0032
48,8.8217,2.86827,3.74261,0.87433,0.86991,0.00000,5.0028
49,8.8896,2.87138,3.75104,0.87966,0.87661,0.00000,5.0032
50,8.9640,2.87061,3.75890,0.88829,0.88394,0.00000,5.0032
51,9.0166,2.87352,3.76699,0.89348,0.88913,0.00000,5.0032
52,9.1623,2.87522,3.78284,0.90762,0.90349,0.00000,5.0028
53,9.2171,2.87825,3.79165,0.91340,0.90890,0.00000,5.0032
54,9.2690,2.88199,3.80036,0.91837,0.91401,0.00000,5.0032
55,9.3280,2.87957,3.80597,0.92639,0.91983,0.00000,5.0028
56,9.4362,2.88573,3.81914,0.93341,0.93050,0.00000,5.0032
57,9.4936,2.88423,3.82543,0.94120,0.93617,0.00000,5.0028
58,9.5548,2.88698,3.83352,0.94655,0.94220,0.00000,5.0028
59,9.6113,2.88736,3.83978,0.95243,0.94777,0.00000,5.0028
60,9.7158,2.89334,3.85660,0.96326,0.95807,0.00000,5.0056
61,9.7815,2.89344,3.86120,0.96776,0.96455,0.00000,5.0032
62,9.8326,2.89352,3.86784,0.97433,0.96959,0.00000,5.0032
63,9.8807,2.89476,3.87490,0.98014,0.97433,0.00000,5.0028
# i_max=9.881 mA  v_die@i_max=2.8948 V  rail 5.0028 to 5.0254 V  sag=22.6 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
