sample,die,colour,Rs,nid,V0,seRs,res,vf10,imax,physical
1,D1,B,18.5401754249622,2.53095898865509,3.01130358769371,0.632666484613562,0.00365795284331403,2.89776,9.9657,0
1,D1,G,24.0167025558293,3.8862324194342,2.99217705938963,0.844730476440358,0.00594533532672915,2.76946112727273,10.4395,0
1,D1,R,10.0074837907288,1.74027651784971,2.09859794137181,0.13177367615824,0.00128706694655736,1.99145780487805,13.8669,1
1,D2,B,17.5875816450545,2.43306431940858,2.98582072112612,0.644361956606769,0.00376967647773047,2.86936941176471,10.0075,0
1,D2,G,23.7394259546427,3.96818408019041,3.00942115957114,0.830572564361068,0.00583005708231377,2.77176285714286,10.4101,0
1,D2,R,11.118991963336,1.78082712431454,2.10871545818676,0.160430878847266,0.00155740869256644,2.01007901215805,13.778,1
1,D3,B,16.3652149434003,2.4790509944245,2.99953605169692,0.560367396845506,0.00328983688802044,2.86560982758621,10.0137,0
1,D3,G,24.1553553265098,3.94097891248531,3.00624595322661,0.809493934166056,0.00568287154767637,2.77520920086393,10.3993,0
1,D3,R,10.051961560849,1.75336241243776,2.10131854168913,0.162376499781759,0.00158683190738389,1.99533883495146,13.8612,1
1,D4,B,15.6293679381468,2.35135028169567,2.96866442762462,0.527404182501649,0.00313304548595205,2.84569396856581,10.1104,1
1,D4,G,24.0825106001836,3.70211540515404,2.95459928119503,0.758857883928741,0.00537824436017541,2.75243846153846,10.496,0
1,D4,R,10.5495284675114,1.74022546258797,2.10032881052543,0.199192077252649,0.0019391826937207,1.9985745470852,13.828,1
1,D6,B,18.8266510896981,2.48436374282464,3.00252351227832,0.563059704712768,0.00325177027650857,2.89153,9.9154,0
1,D6,G,26.0101090599629,3.20350352563044,2.84865829875713,0.619891757912234,0.00444948251673167,2.72648659038902,10.6088,0
1,D7,B,19.7167646245495,2.19281280568866,2.9493805091244,0.389290263835349,0.00225730975701579,2.88308,9.9511,1
1,D7,G,25.1899300928939,3.55355423116565,2.92407224536211,0.657733126477853,0.00465648977166976,2.75281800738007,10.4892,0
1,D7,R,12.1175266451268,1.80939672844836,2.11460734437087,0.163992127020435,0.00157555361959785,2.01941103758602,13.6994,1
1,D8,B,17.7266011504295,2.41000248443784,2.98190233899371,0.505538127813534,0.0029550948356681,2.87153876739563,10.0052,0
1,D8,G,24.3921636471534,3.79429826643006,2.97534973012197,0.703302573437427,0.00494145221139713,2.76570576131687,10.4334,0
1,D8,R,10.7734124919418,1.66698387230482,2.08722702586785,0.14024156435036,0.00136754545100427,1.99767355298308,13.8303,1
2,D2,B,18.5877813795304,2.05467080295846,2.91878890746547,0.472067825276246,0.00278433860518631,2.86148739562624,10.0408,1
2,D2,G,23.9898078779303,3.70702412633757,2.95159731721131,0.802740242265119,0.0056820195082213,2.7471717524644,10.517,0
2,D2,R,10.8788360985339,1.80067309263923,2.11214094867167,0.169428142621202,0.00164135698770988,2.00845833675565,13.7863,1
2,D3,B,17.3940752345829,2.1080484889516,2.9294322349945,0.370690336329084,0.00219695640007728,2.85366093023256,10.0816,1
2,D3,G,26.3064860883885,3.29711729872219,2.8710147803289,0.59729984512275,0.00425138175800342,2.74101391739675,10.5426,0
2,D3,R,10.7511163650569,1.65878370854216,2.08636460996751,0.145143492894444,0.00141371028179884,1.99721621621622,13.8448,1
2,D4,B,19.5224516027664,2.35971187347095,2.98463021616186,0.5080815387593,0.00292563741873319,2.89476,9.8807,1
2,D4,G,25.0924107484972,3.54339579724521,2.92290069015072,0.677424722500866,0.00479931267675574,2.75025119565217,10.5006,0
2,D4,R,11.2217148399021,1.76529496315615,2.10719063330775,0.160513854241396,0.00155616387505797,2.01169383879781,13.7711,1
