when,board_tag,th1_ohm,th2_ohm,th3_ohm,th4_ohm,room_note
,1,8440,8220,8250,8180,"step 3, first block. TH1 read first."
,2,,,,,
,3/4,,,,,
,5/6,,,,,
,7/8,,,,,
